KEY,EN,SV,NO
Base.LanguageValidator,"Language OK","Språk OK","Språk OK"
Base.NoValidGPS,"No valid GPS position","Ingen giltig GPS-position","Ingen gyldig GPS-posisjon"
Base.Close,"Close","Stäng","Lukk"
Base.Cancel,"Cancel","Avbryt","Avbryt"
Base.Continue,"Continue","Fortsätt","Fortsett"
Base.StopAudio,"Stop audio","Avbryt ljud","Avbryt audio"
Base.Exit,"Exit","Avsluta","Lukk"
Base.Share,"Share","Dela","Dele"
Base.ReadMore,"Read more","Läs mer","Les mer"
Base.BirdsView,"Bird's view","Utsikt","Utsyn"
Base.BirdsViewLabel,"Altitude","Höjd","Høyde"
Base.ExitBirdsView,"Exit","Avbryt utsikt","Avbryt utsyn"
Base.Snapshot,"Snapshot","Ta kort","Ta bilde"
Base.CameraZoom,"Camera Zoom","Zoom","Zoom"
Base.CameraZoomLabel,"Zoom","Zoom","Zoom"
Base.ExitCameraZoom,"Exit","Avbryt zoom","Avbryt zoom"
Base.ExitDetailView,"Exit","Avbryt visning","Avbryt visning"
Base.Login,"Log in","Logga in","Logg inn"
Base.Logout,"Log out","Logga ut","Logge ut"
Base.JoinGroup,"Logged on to group ","Inloggad på grupp ","Logget på gruppen "
Base.AddBalloon,"Add balloon","Skapa ballong","Lag ballong"
Base.ShowChat,"Chatboard","Diskussion","Diskusjon"
Base.MapView,"Map view","Kartvy","Kartvisning"
Base.CloseMapView,"Exit","Lämna karta","Lukk kart"
